datenquelle|standdatum|offertnummerintern|erstellerlogin|erstellungsdatum|processconfiguration|produktid|uebersteuerungsid|fehlertext
6050|20170128|00105157095|JABO|20170120|3|SLR40|101238| 
6050|20170128|00105142821|ESFM|20170120|3|SLPDV3|101121|Der Versicherungsbeginn darf nicht in der Vergangenheit liegen.
6050|20170128|00105146117|UBEN|20170120|2|SLPDV3|101121|Der Versicherungsbeginn darf nicht in der Vergangenheit liegen.
6050|20170128|00105119856|MROO|20170123|2|SLPDV3|101121|Der Versicherungsbeginn darf nicht in der Vergangenheit liegen.
6050|20170128|00105124215|FUAR|20170123|2|SLPDV3|101121|Der Versicherungsbeginn darf nicht in der Vergangenheit liegen.
6050|20170128|00105121196|FUAR|20170123|3|SLPDV3|101121|Der Versicherungsbeginn darf nicht in der Vergangenheit liegen.
6050|20170128|00105133646|FUAR|20170123|2|SLPDV3|101121|Der Versicherungsbeginn darf nicht in der Vergangenheit liegen.
6050|20170128|00105119311|ESFM|20170123|3|SLPDV3|101121|Der Versicherungsbeginn darf nicht in der Vergangenheit liegen.
6050|20170128|00105141801|FUAR|20170123|1|SLPKP|101238|Der Versicherungsbeginn liegt mehr als einen Monat in der Vergangenheit.
6050|20170128|00105158540|LEGG|20170123|6|SLR40|101238| 
6050|20170128|00105158538|LEGG|20170123|6|SLR40|101121| 
6050|20170128|00105134187|FUAR|20170124|1|SLPDV3|101121|Der Versicherungsbeginn darf nicht in der Vergangenheit liegen.
6050|20170128|00105144001|CMIR|20170124|2|SLPDV3|101238| 
6050|20170128|00105158959|JABO|20170124|3|SLCAXC|101121| 
6050|20170128|00105138990|ROM5|20170124|2|SLPDP|101238| 
6050|20170128|00105159117|CMIR|20170124|2|SLPDV3|101121| 
6050|20170128|00105159335|JABO|20170124|3|SLPDV3|101121| 
6050|20170128|00105138276|SVAN|20170124|12|SLATFP|101238| 
6050|20170128|00105148059|SVAN|20170125|2|SLPDV3|101121| 
6050|20170128|00105130325|FUAR|20170125|2|SLPDV3|101238|Der Versicherungsbeginn liegt mehr als einen Monat in der Vergangenheit.
6050|20170128|00105160267|JABO|20170126|3|SLR40V|101238| 
6050|20170128|00105160318|JABO|20170126|3|SLPDV3|101238| 
6050|20170128|00105083929|ESFM|20170126|2|SLPDV3|101121|Der Versicherungsbeginn darf nicht in der Vergangenheit liegen.
6050|20170128|00105139726|UBEN|20170126|1|SLR40V|101238|Der Versicherungsbeginn liegt mehr als einen Monat in der Vergangenheit.
6050|20170128|00105137476|FUAR|20170126|3|SLPDV1|101121|Der Versicherungsbeginn darf nicht in der Vergangenheit liegen.
6050|20170128|00105158189|ZIFI|20170126|2|SLPDV3|101121| 
6050|20170128|00105158891|ZIFI|20170126|2|SLPDV3|101238| 
6050|20170128|00105154491|SASP|20170126|2|SLPDV3|101121| 
6050|20170128|00105159017|SASP|20170126|2|SLPDP|101238| 
6050|20170128|00105153476|SASP|20170126|2|SLPDV3|101121| 
6050|20170128|00105156703|MST2|20170127|2|SLPDP|101121| 
6050|20170128|00105147146|EAMI|20170127|3|SLPDV3|101121|L'inizio dell'assicurazione non deve situarsi nel passato.
6050|20170128|00105160929|LEGG|20170127|6|SLR40|101238| 
6050|20170128|00105161120|JABO|20170127|3|SLR40|101238| 
6050|20170128|00105154876|ROM5|20170127|2|SLPDV3|101121| 
6050|20170128|00105153941|MST2|20170127|2|SLPDV3|101238| 
